#RPLIDAR SCAN DATA
#COUNT=586
#Angule	Distance	Quality
115.8234 341.0 188
116.2134 341.0 188
116.6199 343.0 188
117.0154 345.0 188
117.4054 347.0 188
117.7954 347.0 188
118.1854 348.0 188
118.5754 352.0 188
118.9655 353.0 188
119.3555 353.0 188
119.7455 354.0 188
120.1355 354.0 188
120.5310 355.0 188
121.3110 361.0 188
121.7010 366.0 188
122.0911 366.0 188
122.4811 368.0 188
122.8711 372.0 188
123.2611 374.0 188
124.0466 382.0 188
124.4366 390.0 188
124.8267 389.0 188
125.2167 389.0 188
125.6067 390.0 188
126.3867 388.0 188
126.7767 387.0 188
127.1667 390.0 188
127.9523 397.0 188
128.3423 405.0 188
128.7323 405.0 188
129.1223 409.0 188
129.5123 414.0 188
132.6215 1905.0 188
133.0115 1902.0 188
133.4015 1892.0 188
133.7915 1876.0 188
134.1870 1859.0 188
135.7471 1326.0 188
136.1371 1323.0 188
136.5271 1321.0 188
136.9171 1326.0 188
137.3071 1335.0 188
138.8727 1173.0 188
139.2627 1174.0 188
139.6527 1170.0 188
140.0427 1161.0 188
140.4327 1154.0 188
140.8228 1155.0 188
141.2183 1153.0 188
141.6083 1142.0 188
141.9983 1128.0 188
143.1683 1107.0 188
150.9796 971.0 188
151.7651 981.0 188
152.1552 989.0 188
152.5452 991.0 188
152.9352 996.0 188
153.3252 996.0 188
153.7152 991.0 188
154.1052 987.0 188
154.4952 986.0 188
154.8853 973.0 188
158.0273 337.0 188
159.2029 334.0 188
170.1562 146.0 188
170.5463 146.0 188
171.7163 153.0 188
176.0120 145.0 188
176.4020 130.0 188
179.1541 127.0 188
179.5276 124.0 188
179.9176 123.0 188
181.4832 124.0 188
183.0267 128.0 188
188.4814 142.0 188
189.6405 151.0 188
202.5000 1592.0 188
202.8900 1591.0 188
203.2800 1590.0 188
203.6700 1590.0 188
204.0601 1594.0 188
204.4501 1603.0 188
204.8401 1613.0 188
205.2301 1624.0 188
205.6201 1635.0 188
206.0156 1637.0 188
206.4056 1636.0 188
206.7957 1638.0 188
207.1857 1631.0 188
207.5757 1613.0 188
214.6069 1072.0 188
214.9969 1076.0 188
215.3870 1083.0 188
215.7770 1092.0 188
216.1670 1100.0 188
216.5625 1107.0 188
216.9525 1115.0 188
217.3425 1122.0 188
217.7325 1128.0 188
218.1226 1136.0 188
218.5126 1143.0 188
218.9026 1147.0 188
219.2926 1148.0 188
219.6826 1149.0 188
220.0781 1159.0 188
220.4681 1172.0 188
220.8582 1182.0 188
221.2482 1189.0 188
221.6382 1186.0 188
222.0282 1190.0 188
222.4182 1201.0 188
222.8082 1206.0 188
